timestamp,value,is_anomaly
2014-07-01,745967,0
2014-07-02,733640,0
2014-07-03,710142,0
2014-07-04,552565,0
2014-07-05,555470,0
2014-07-06,550285,0
2014-07-07,636570,0
2014-07-08,726535,0
2014-07-09,748567,0
2014-07-10,761596,0
2014-07-11,779020,0
2014-07-12,795013,0
2014-07-13,715651,0
2014-07-14,695729,0
2014-07-15,728331,0
2014-07-16,750480,0
2014-07-17,769302,0
2014-07-18,781336,0
2014-07-19,789771,0
2014-07-20,701268,0
2014-07-21,669555,0
2014-07-22,747934,0
2014-07-23,784669,0
2014-07-24,771552,0
2014-07-25,786686,0
2014-07-26,798280,0
2014-07-27,711598,0
2014-07-28,605561,0
2014-07-29,707802,0
2014-07-30,739760,0
2014-07-31,760563,0
2014-08-01,769160,0
2014-08-02,781616,0
2014-08-03,699449,0
2014-08-04,662215,0
2014-08-05,710728,0
2014-08-06,737803,0
2014-08-07,754260,0
2014-08-08,758688,0
2014-08-09,743986,0
2014-08-10,653183,0
2014-08-11,635503,0
2014-08-12,692472,0
2014-08-13,728588,0
2014-08-14,738931,0
2014-08-15,755739,0
2014-08-16,742592,0
2014-08-17,667964,0
2014-08-18,631430,0
2014-08-19,681756,0
2014-08-20,707241,0
2014-08-21,741183,0
2014-08-22,711225,0
2014-08-23,711571,0
2014-08-24,638602,0
2014-08-25,601875,0
2014-08-26,652836,0
2014-08-27,697228,0
2014-08-28,695717,0
2014-08-29,699744,0
2014-08-30,669853,0
2014-08-31,622555,0
2014-09-01,556314,0
2014-09-02,677879,0
2014-09-03,730834,0
2014-09-04,779510,0
2014-09-05,833762,0
2014-09-06,881714,0
2014-09-07,770168,0
2014-09-08,713881,0
2014-09-09,742722,0
2014-09-10,770248,0
2014-09-11,790045,0
2014-09-12,815022,0
2014-09-13,893651,0
2014-09-14,779930,0
2014-09-15,693044,0
2014-09-16,734885,0
2014-09-17,742949,0
2014-09-18,769405,0
2014-09-19,818322,0
2014-09-20,862756,0
2014-09-21,694510,0
2014-09-22,652135,0
2014-09-23,659009,0
2014-09-24,688789,0
2014-09-25,713845,0
2014-09-26,756482,0
2014-09-27,854486,0
2014-09-28,749204,0
2014-09-29,658328,0
2014-09-30,713830,0
2014-10-01,753936,0
2014-10-02,771639,0
2014-10-03,813973,0
2014-10-04,814396,0
2014-10-05,715853,0
2014-10-06,675219,0
2014-10-07,716494,0
2014-10-08,751608,0
2014-10-09,792472,0
2014-10-10,824508,0
2014-10-11,897908,0
2014-10-12,766463,0
2014-10-13,653597,0
2014-10-14,709808,0
2014-10-15,753953,0
2014-10-16,799442,0
2014-10-17,829706,0
2014-10-18,901390,0
2014-10-19,802180,0
2014-10-20,686682,0
2014-10-21,732340,0
2014-10-22,761072,0
2014-10-23,784111,0
2014-10-24,828086,0
2014-10-25,878462,0
2014-10-26,762906,0
2014-10-27,679273,0
2014-10-28,715598,0
2014-10-29,747615,0
2014-10-30,777824,0
2014-10-31,838721,0
2014-11-01,986568,1
2014-11-02,753705,0
2014-11-03,681943,0
2014-11-04,699207,0
2014-11-05,737521,0
2014-11-06,778281,0
2014-11-07,818614,0
2014-11-08,905152,0
2014-11-09,766665,0
2014-11-10,670580,0
2014-11-11,661081,0
2014-11-12,726925,0
2014-11-13,763458,0
2014-11-14,821075,0
2014-11-15,883958,0
2014-11-16,757443,0
2014-11-17,658694,0
2014-11-18,743973,0
2014-11-19,747294,0
2014-11-20,755199,0
2014-11-21,826738,0
2014-11-22,897027,0
2014-11-23,735768,0
2014-11-24,655326,0
2014-11-25,675041,0
2014-11-26,718722,0
2014-11-27,523184,1
2014-11-28,616841,0
2014-11-29,704360,0
2014-11-30,638317,0
2014-12-01,656814,0
2014-12-02,719097,0
2014-12-03,720080,0
2014-12-04,758203,0
2014-12-05,829996,0
2014-12-06,890958,0
2014-12-07,794150,0
2014-12-08,708467,0
2014-12-09,713931,0
2014-12-10,731556,0
2014-12-11,773620,0
2014-12-12,831843,0
2014-12-13,876676,0
2014-12-14,760877,0
2014-12-15,674953,0
2014-12-16,722068,0
2014-12-17,752501,0
2014-12-18,798656,0
2014-12-19,855719,0
2014-12-20,862639,0
2014-12-21,732596,0
2014-12-22,641331,0
2014-12-23,645690,0
2014-12-24,600096,0
2014-12-25,379302,1
2014-12-26,499102,0
2014-12-27,586604,0
2014-12-28,576228,0
2014-12-29,588023,0
2014-12-30,655665,0
2014-12-31,704941,0
2015-01-01,690407,0
2015-01-02,606716,0
2015-01-03,722115,0
2015-01-04,565709,0
2015-01-05,600132,0
2015-01-06,631877,0
2015-01-07,707015,0
2015-01-08,745416,0
2015-01-09,746839,0
2015-01-10,892664,0
2015-01-11,718725,0
2015-01-12,647742,0
2015-01-13,734397,0
2015-01-14,724099,0
2015-01-15,739819,0
2015-01-16,795094,0
2015-01-17,828957,0
2015-01-18,743123,0
2015-01-19,575177,0
2015-01-20,660452,0
2015-01-21,703946,0
2015-01-22,739376,0
2015-01-23,782348,0
2015-01-24,798498,0
2015-01-25,694262,0
2015-01-26,375311,0
2015-01-27,232058,1
2015-01-28,621483,0
2015-01-29,704935,0
2015-01-30,800478,0
2015-01-31,897719,0
